theta max(rad),theta settling time(s),x final value(m),x settling time(s),l final value(m),l settling time(s),lambda 1,k,lambda 2,alpha 1
0.00248,79.81,2.461,-0.01,3.378,-0.01,0.8,0.05,0.75,0.5
0.0024,79.8,2.318,-0.01,3.378,-0.01,0.85,0.05,0.75,0.5
0.00233,79.8,2.191,-0.01,3.378,-0.01,0.9,0.05,0.75,0.5
0.00226,79.79,2.077,-0.01,3.378,-0.01,0.95,0.05,0.75,0.5
0.0022,79.78,1.975,-0.01,3.378,-0.01,1.0,0.05,0.75,0.5
0.00921,73.89,4.898,-0.01,1.002,77.92,0.05,0.1,0.75,0.5
0.00872,73.94,4.998,66.35,1.002,77.92,0.1,0.1,0.75,0.5
0.00828,74.56,5.0,49.77,1.002,77.94,0.15,0.1,0.75,0.5
0.00885,79.33,5.0,43.58,1.002,77.94,0.2,0.1,0.75,0.5
0.00968,80.0,5.0,42.45,1.002,77.95,0.25,0.1,0.75,0.5
0.00894,79.81,5.0,43.2,1.002,77.92,0.3,0.1,0.75,0.5
0.00689,80.0,5.0,45.26,1.002,77.94,0.35,0.1,0.75,0.5
0.0067,80.0,5.0,48.55,1.002,77.91,0.4,0.1,0.75,0.5
0.00794,79.81,5.0,52.17,1.002,77.91,0.45,0.1,0.75,0.5
0.00627,79.72,5.0,55.72,1.002,77.89,0.5,0.1,0.75,0.5
0.00737,79.66,5.0,59.83,1.002,77.93,0.55,0.1,0.75,0.5
0.00653,79.92,5.0,64.21,1.002,77.92,0.6,0.1,0.75,0.5
0.00662,79.37,5.0,68.67,1.002,77.92,0.65,0.1,0.75,0.5
0.00678,79.22,5.0,73.22,1.002,77.91,0.7,0.1,0.75,0.5
0.00678,79.59,4.998,77.83,1.002,77.91,0.75,0.1,0.75,0.5
0.00496,79.16,4.921,-0.01,1.002,77.9,0.8,0.1,0.75,0.5
0.00481,79.24,4.636,-0.01,1.002,77.9,0.85,0.1,0.75,0.5
0.00466,79.31,4.382,-0.01,1.002,77.89,0.9,0.1,0.75,0.5
0.00453,80.0,4.155,-0.01,1.002,77.89,0.95,0.1,0.75,0.5
0.0044,80.0,3.949,-0.01,1.002,77.93,1.0,0.1,0.75,0.5
0.01382,70.5,4.903,-0.01,1.0,53.48,0.05,0.15,0.75,0.5
0.01518,64.23,4.994,65.0,1.0,53.5,0.1,0.15,0.75,0.5
0.01243,60.07,4.998,46.7,1.0,53.47,0.15,0.15,0.75,0.5
0.01184,61.78,5.0,39.12,1.0,53.48,0.2,0.15,0.75,0.5
0.01554,65.48,5.0,36.11,1.0,53.47,0.25,0.15,0.75,0.5
0.01478,66.33,4.999,34.03,1.0,53.49,0.3,0.15,0.75,0.5
0.01132,65.07,5.0,35.24,1.0,53.48,0.35,0.15,0.75,0.5
0.00992,63.77,5.0,35.94,1.0,53.45,0.4,0.15,0.75,0.5
0.00953,64.59,5.0,37.93,1.0,53.45,0.45,0.15,0.75,0.5
0.00917,65.42,5.0,40.13,1.0,53.49,0.5,0.15,0.75,0.5
0.00883,66.5,5.0,42.29,1.0,53.47,0.55,0.15,0.75,0.5
0.00868,68.7,5.0,44.77,1.0,53.45,0.6,0.15,0.75,0.5
0.00994,70.25,5.0,47.49,1.0,53.44,0.65,0.15,0.75,0.5
0.01138,72.8,5.0,50.33,1.0,53.43,0.7,0.15,0.75,0.5
0.00973,73.69,5.0,53.25,1.0,53.48,0.75,0.15,0.75,0.5
0.01046,77.05,5.0,56.29,1.0,53.48,0.8,0.15,0.75,0.5
0.00968,79.44,5.0,59.34,1.0,53.47,0.85,0.15,0.75,0.5
0.00973,79.84,5.0,62.45,1.0,53.46,0.9,0.15,0.75,0.5
0.00957,79.29,5.0,65.5,1.0,53.45,0.95,0.15,0.75,0.5
0.00936,72.26,5.0,68.6,1.0,53.45,1.0,0.15,0.75,0.5
0.01956,67.28,4.901,-0.01,1.0,41.38,0.05,0.2,0.75,0.5
0.01746,54.23,4.994,63.77,1.0,41.37,0.1,0.2,0.75,0.5
0.02212,57.25,4.998,46.02,1.0,41.4,0.15,0.2,0.75,0.5
0.01579,54.68,5.001,36.43,1.0,41.39,0.2,0.2,0.75,0.5
0.01959,57.39,5.0,32.04,1.0,41.38,0.25,0.2,0.75,0.5
0.01842,57.93,5.001,30.73,1.0,41.38,0.3,0.2,0.75,0.5
0.0138,53.9,4.999,29.71,1.0,41.39,0.35,0.2,0.75,0.5
0.01996,59.33,5.0,30.76,1.0,41.34,0.4,0.2,0.75,0.5
0.01476,58.84,5.0,30.88,1.0,41.37,0.45,0.2,0.75,0.5
0.01224,56.05,5.0,32.27,1.0,41.38,0.5,0.2,0.75,0.5
0.01628,60.52,5.0,33.98,1.0,41.3,0.55,0.2,0.75,0.5
0.0176,61.42,5.0,35.62,1.0,41.33,0.6,0.2,0.75,0.5
0.01622,62.23,5.0,36.99,1.0,41.37,0.65,0.2,0.75,0.5
0.01519,62.24,5.0,39.0,1.0,41.34,0.7,0.2,0.75,0.5
0.01551,64.29,5.0,41.07,1.0,41.34,0.75,0.2,0.75,0.5
0.01491,65.73,5.0,43.21,1.0,41.34,0.8,0.2,0.75,0.5
0.01329,68.12,5.0,45.44,1.0,41.31,0.85,0.2,0.75,0.5
0.01237,70.64,5.0,47.71,1.0,41.31,0.9,0.2,0.75,0.5
0.0125,73.3,5.0,49.99,1.0,41.34,0.95,0.2,0.75,0.5
0.01266,75.85,5.0,52.3,1.0,41.36,1.0,0.2,0.75,0.5
0.02359,66.16,4.903,-0.01,1.0,34.18,0.05,0.25,0.75,0.5
0.02184,54.27,4.994,63.16,1.0,34.2,0.1,0.25,0.75,0.5
0.02199,53.62,5.0,43.36,1.0,34.16,0.15,0.25,0.75,0.5
0.02484,53.18,5.0,35.62,1.0,34.18,0.2,0.25,0.75,0.5
0.01885,51.58,5.001,30.85,1.0,34.2,0.25,0.25,0.75,0.5
0.02674,54.19,5.0,28.85,1.0,34.13,0.3,0.25,0.75,0.5
0.01726,51.5,5.001,26.66,1.0,34.11,0.35,0.25,0.75,0.5
0.02512,55.16,5.0,26.89,1.0,34.12,0.4,0.25,0.75,0.5
0.01637,52.7,4.999,26.66,1.0,34.15,0.45,0.25,0.75,0.5
0.02067,54.44,5.0,27.41,1.0,34.17,0.5,0.25,0.75,0.5
0.02199,55.96,5.0,28.83,1.0,34.19,0.55,0.25,0.75,0.5
0.01423,51.08,5.0,29.88,1.0,34.19,0.6,0.25,0.75,0.5
0.02159,56.49,5.0,31.34,1.0,34.12,0.65,0.25,0.75,0.5
0.02228,57.25,5.0,32.7,1.0,34.12,0.7,0.25,0.75,0.5
0.0181,57.02,5.0,33.79,1.0,34.17,0.75,0.25,0.75,0.5
0.01542,57.88,5.0,35.48,1.0,34.16,0.8,0.25,0.75,0.5
0.01481,59.83,5.0,37.18,1.0,34.16,0.85,0.25,0.75,0.5
0.01475,61.84,5.0,38.92,1.0,34.15,0.9,0.25,0.75,0.5
0.01481,64.77,5.0,40.7,1.0,34.13,0.95,0.25,0.75,0.5
0.01485,66.84,5.0,42.49,1.0,34.12,1.0,0.25,0.75,0.5
0.0261,66.04,4.909,-0.01,1.0,29.44,0.05,0.3,0.75,0.5
0.02655,54.04,4.994,64.27,1.0,29.43,0.1,0.3,0.75,0.5
0.02491,45.34,4.996,43.29,1.0,29.45,0.15,0.3,0.75,0.5
0.03402,51.79,5.001,33.91,1.0,29.41,0.2,0.3,0.75,0.5
0.02479,49.23,5.0,29.64,1.001,29.49,0.25,0.3,0.75,0.5
0.02282,49.58,4.999,26.96,1.0,29.45,0.3,0.3,0.75,0.5
0.03316,52.09,5.0,25.35,1.0,29.41,0.35,0.3,0.75,0.5
0.0199,45.09,5.0,24.48,1.0,29.43,0.4,0.3,0.75,0.5
0.03238,79.95,5.0,24.96,1.0,29.41,0.45,0.3,0.75,0.5
0.01839,46.5,5.0,24.54,1.0,29.45,0.5,0.3,0.75,0.5
0.03056,53.05,5.0,25.2,1.0,29.34,0.55,0.3,0.75,0.5
0.01709,46.81,5.001,26.06,1.0,29.41,0.6,0.3,0.75,0.5
0.03014,54.19,5.001,27.21,1.0,29.43,0.65,0.3,0.75,0.5
0.01806,51.65,5.0,28.14,1.0,29.36,0.7,0.3,0.75,0.5
0.01958,51.68,5.0,29.34,1.0,29.34,0.75,0.3,0.75,0.5
0.02593,55.45,5.0,30.3,1.0,29.43,0.8,0.3,0.75,0.5
0.02325,57.18,5.0,31.64,1.0,29.36,0.85,0.3,0.75,0.5
0.01823,56.95,5.0,33.11,1.0,29.38,0.9,0.3,0.75,0.5
0.01664,58.5,5.0,34.49,1.0,29.37,0.95,0.3,0.75,0.5
0.01858,61.18,5.0,35.98,1.0,29.38,1.0,0.3,0.75,0.5
0.02779,66.17,4.898,-0.01,0.999,25.95,0.05,0.35,0.75,0.5
0.03535,52.58,4.994,62.66,1.001,26.12,0.1,0.35,0.75,0.5
0.02908,44.91,4.996,42.76,1.0,26.12,0.15,0.35,0.75,0.5
0.02845,48.1,5.0,33.66,1.0,26.03,0.2,0.35,0.75,0.5
0.04137,49.53,5.0,28.38,1.0,26.03,0.25,0.35,0.75,0.5
0.02528,45.83,4.999,26.2,1.0,26.05,0.3,0.35,0.75,0.5
0.02908,48.2,5.001,23.66,1.0,26.02,0.35,0.35,0.75,0.5
0.03927,50.61,5.0,23.72,1.0,26.05,0.4,0.35,0.75,0.5
0.02233,41.2,5.0,22.58,1.0,25.98,0.45,0.35,0.75,0.5
0.03582,50.47,5.001,23.29,1.0,26.05,0.5,0.35,0.75,0.5
0.02763,48.94,5.0,22.5,1.001,26.12,0.55,0.35,0.75,0.5
0.02773,49.38,4.999,23.54,1.001,26.09,0.6,0.35,0.75,0.5
0.03121,49.98,5.0,24.14,1.0,26.09,0.65,0.35,0.75,0.5
0.02821,50.42,5.0,25.23,1.0,26.0,0.7,0.35,0.75,0.5
0.02402,49.13,5.001,25.94,1.0,26.04,0.75,0.35,0.75,0.5
0.03292,52.83,5.0,26.64,1.0,26.06,0.8,0.35,0.75,0.5
0.01935,51.31,5.0,27.74,1.0,26.07,0.85,0.35,0.75,0.5
0.02167,52.48,5.0,28.88,1.0,26.04,0.9,0.35,0.75,0.5
0.02666,56.09,5.0,30.08,1.0,26.01,0.95,0.35,0.75,0.5
0.02091,56.61,5.0,31.39,1.0,26.0,1.0,0.35,0.75,0.5
0.02903,65.67,4.91,-0.01,1.0,23.57,0.05,0.4,0.75,0.5
0.04203,51.43,4.993,64.56,1.0,23.53,0.1,0.4,0.75,0.5
0.03326,47.57,4.994,44.44,0.999,23.59,0.15,0.4,0.75,0.5
0.03168,41.72,5.0,32.91,1.0,23.5,0.2,0.4,0.75,0.5
0.04338,48.2,5.0,28.39,1.0,23.61,0.25,0.4,0.75,0.5
0.04468,47.59,5.001,24.87,1.001,23.64,0.3,0.4,0.75,0.5
0.0277,39.93,5.0,23.14,1.001,23.62,0.35,0.4,0.75,0.5
0.03644,47.22,5.001,22.27,1.0,23.54,0.4,0.4,0.75,0.5
0.04522,48.61,5.0,20.96,0.999,23.48,0.45,0.4,0.75,0.5
0.02458,40.97,5.0,21.19,1.0,23.59,0.5,0.4,0.75,0.5
0.0384,48.35,5.001,20.72,1.0,23.53,0.55,0.4,0.75,0.5
0.03902,47.84,5.0,21.19,1.001,23.62,0.6,0.4,0.75,0.5
0.02206,45.12,5.001,22.09,1.0,23.5,0.65,0.4,0.75,0.5
0.04419,49.8,5.0,22.78,1.0,23.48,0.7,0.4,0.75,0.5
0.02063,44.05,5.0,23.41,1.001,23.62,0.75,0.4,0.75,0.5
0.03888,49.91,5.0,24.41,1.0,23.52,0.8,0.4,0.75,0.5
0.02582,49.39,4.999,24.87,1.0,23.5,0.85,0.4,0.75,0.5
0.02638,50.26,5.0,25.78,1.0,23.53,0.9,0.4,0.75,0.5
0.03101,52.83,5.0,26.81,1.0,23.5,0.95,0.4,0.75,0.5
0.01961,50.98,5.0,27.87,1.0,23.52,1.0,0.4,0.75,0.5
0.02999,66.06,4.899,-0.01,1.001,21.64,0.05,0.45,0.75,0.5
0.04718,52.33,4.994,63.93,1.0,21.66,0.1,0.45,0.75,0.5
0.04142,46.73,4.995,42.99,1.0,21.59,0.15,0.45,0.75,0.5
0.03567,37.87,4.996,33.18,0.999,21.55,0.2,0.45,0.75,0.5
0.03546,45.19,5.0,27.79,1.001,21.7,0.25,0.45,0.75,0.5
0.05418,47.51,5.0,24.08,0.999,21.55,0.3,0.45,0.75,0.5
0.04459,45.86,5.0,22.23,1.0,21.7,0.35,0.45,0.75,0.5
0.02993,34.75,5.0,20.94,0.999,21.55,0.4,0.45,0.75,0.5
0.04477,46.47,5.001,19.82,1.001,21.68,0.45,0.45,0.75,0.5
0.05108,47.8,4.999,20.04,1.0,21.69,0.5,0.45,0.75,0.5
0.02667,40.1,5.0,20.0,1.0,21.57,0.55,0.45,0.75,0.5
0.04188,46.52,5.0,19.79,1.0,21.61,0.6,0.45,0.75,0.5
0.04864,47.94,5.0,20.16,1.0,21.62,0.65,0.45,0.75,0.5
0.02401,40.12,5.0,20.94,1.0,21.55,0.7,0.45,0.75,0.5
0.05136,48.83,5.0,21.73,0.999,21.53,0.75,0.45,0.75,0.5
0.0225,37.47,5.0,22.12,1.0,21.55,0.8,0.45,0.75,0.5
0.0442,49.93,5.0,22.47,1.0,21.55,0.85,0.45,0.75,0.5
0.02116,43.96,5.0,23.47,1.0,21.59,0.9,0.45,0.75,0.5
0.03841,51.15,5.0,24.21,1.001,21.62,0.95,0.45,0.75,0.5
0.02115,49.31,5.0,25.22,1.001,21.61,1.0,0.45,0.75,0.5
0.03287,65.88,4.91,-0.01,1.0,20.0,0.05,0.5,0.75,0.5
0.0532,51.64,4.996,59.23,1.0,20.07,0.1,0.5,0.75,0.5
0.0513,45.49,4.997,40.61,1.001,20.2,0.15,0.5,0.75,0.5
0.03966,42.24,4.996,34.3,1.001,20.23,0.2,0.5,0.75,0.5
0.03786,40.34,4.997,28.41,0.999,20.0,0.25,0.5,0.75,0.5
0.05248,45.69,5.001,23.38,0.999,20.01,0.3,0.5,0.75,0.5
0.06077,46.02,5.0,21.47,1.0,20.12,0.35,0.5,0.75,0.5
0.04156,43.29,5.001,19.81,1.001,20.23,0.4,0.5,0.75,0.5
0.03199,40.41,5.0,19.29,1.0,20.12,0.45,0.5,0.75,0.5
0.05411,45.88,5.001,19.0,1.0,20.14,0.5,0.5,0.75,0.5
0.05648,46.21,5.001,19.2,1.001,20.18,0.55,0.5,0.75,0.5
0.02861,38.42,4.999,19.12,1.001,20.16,0.6,0.5,0.75,0.5
0.04765,45.85,5.001,18.98,0.999,19.98,0.65,0.5,0.75,0.5
0.05756,46.29,5.0,19.34,1.0,20.05,0.7,0.5,0.75,0.5
0.02585,36.43,4.999,20.04,0.999,20.0,0.75,0.5,0.75,0.5
0.05483,47.2,5.0,20.85,1.0,20.07,0.8,0.5,0.75,0.5
0.02673,41.63,5.0,21.05,1.0,20.11,0.85,0.5,0.75,0.5
0.04427,48.19,4.999,21.42,1.0,20.03,0.9,0.5,0.75,0.5
0.02983,45.8,5.0,22.21,1.0,20.05,0.95,0.5,0.75,0.5
0.03712,50.22,5.0,23.05,1.0,20.07,1.0,0.5,0.75,0.5
0.03644,65.88,4.917,-0.01,1.0,18.78,0.05,0.55,0.75,0.5
0.06095,51.09,4.993,64.86,1.001,18.94,0.1,0.55,0.75,0.5
0.06206,47.31,4.996,42.37,1.0,18.93,0.15,0.55,0.75,0.5
0.04451,43.6,5.002,31.42,1.001,18.99,0.2,0.55,0.75,0.5
0.04168,31.8,4.998,26.79,1.0,18.93,0.25,0.55,0.75,0.5
0.04334,43.02,4.998,24.3,1.0,18.81,0.3,0.55,0.75,0.5
0.06599,45.33,5.001,20.77,1.001,18.98,0.35,0.55,0.75,0.5
0.06325,44.61,4.999,20.62,1.001,18.98,0.4,0.55,0.75,0.5
0.03605,40.77,4.999,19.09,0.999,18.79,0.45,0.55,0.75,0.5
0.0339,42.04,4.999,18.34,1.001,18.95,0.5,0.55,0.75,0.5
0.06433,45.41,5.0,18.43,1.0,18.86,0.55,0.55,0.75,0.5
0.06105,44.73,5.0,18.57,1.0,18.86,0.6,0.55,0.75,0.5
0.03043,34.76,4.999,18.22,1.0,18.91,0.65,0.55,0.75,0.5
0.05661,45.37,4.999,18.41,1.0,18.79,0.7,0.55,0.75,0.5
0.06387,45.77,4.999,18.75,1.001,18.95,0.75,0.55,0.75,0.5
0.02949,37.02,5.0,18.99,1.0,18.79,0.8,0.55,0.75,0.5
0.05842,46.68,5.0,20.16,1.0,18.87,0.85,0.55,0.75,0.5
0.03413,43.09,5.0,20.09,1.0,18.82,0.9,0.55,0.75,0.5
0.04221,47.55,5.0,20.59,0.999,18.78,0.95,0.55,0.75,0.5
0.04231,48.13,5.0,21.18,0.999,18.8,1.0,0.55,0.75,0.5
0.0378,65.89,4.904,-0.01,1.001,17.9,0.05,0.6,0.75,0.5
0.06555,50.62,4.993,66.42,1.001,17.91,0.1,0.6,0.75,0.5
0.07337,44.93,4.997,40.31,1.001,17.92,0.15,0.6,0.75,0.5
0.05764,43.12,4.999,32.6,1.0,17.89,0.2,0.6,0.75,0.5
0.04551,39.27,5.002,26.03,1.001,17.98,0.25,0.6,0.75,0.5
0.04353,39.44,4.998,23.96,1.0,17.82,0.3,0.6,0.75,0.5
0.06229,43.73,5.002,20.22,1.0,17.79,0.35,0.6,0.75,0.5
0.07532,45.0,5.0,20.07,1.0,17.88,0.4,0.6,0.75,0.5
0.06193,43.24,4.999,18.52,1.001,17.96,0.45,0.6,0.75,0.5
0.03702,36.3,5.0,17.62,1.0,17.79,0.5,0.6,0.75,0.5
0.04618,42.7,4.999,17.75,1.001,17.92,0.55,0.6,0.75,0.5
0.07501,45.04,5.0,17.88,0.999,17.72,0.6,0.6,0.75,0.5
0.06407,44.3,5.0,17.91,1.0,17.81,0.65,0.6,0.75,0.5
0.03213,31.66,5.0,17.46,1.0,17.89,0.7,0.6,0.75,0.5
0.06479,44.99,5.001,17.82,0.999,17.73,0.75,0.6,0.75,0.5
0.06733,45.36,5.0,18.18,0.999,17.73,0.8,0.6,0.75,0.5
0.03388,36.61,5.0,18.36,0.999,17.75,0.85,0.6,0.75,0.5
0.0609,46.24,5.001,18.42,1.0,17.8,0.9,0.6,0.75,0.5
0.04286,44.66,5.0,19.14,1.001,17.89,0.95,0.6,0.75,0.5
0.03656,45.99,4.999,19.91,1.001,17.87,1.0,0.6,0.75,0.5
0.04067,66.09,4.904,-0.01,1.0,16.93,0.05,0.65,0.75,0.5
0.07231,50.23,4.997,57.63,1.001,17.07,0.1,0.65,0.75,0.5
0.08586,46.41,4.994,43.62,1.0,17.02,0.15,0.65,0.75,0.5
0.07522,43.62,5.003,30.84,1.0,17.05,0.2,0.65,0.75,0.5
0.04934,40.84,5.0,26.56,1.0,17.09,0.25,0.65,0.75,0.5
0.0472,31.86,4.999,23.24,1.0,16.95,0.3,0.65,0.75,0.5
0.05243,42.23,4.999,21.34,1.001,17.09,0.35,0.65,0.75,0.5
0.07866,44.47,4.998,19.7,1.0,16.94,0.4,0.65,0.75,0.5
0.08029,43.75,4.999,18.0,1.001,17.12,0.45,0.65,0.75,0.5
0.05707,41.93,5.0,17.8,1.001,17.11,0.5,0.65,0.75,0.5
0.03869,32.08,4.999,17.0,0.999,16.89,0.55,0.65,0.75,0.5
0.06232,43.42,5.0,17.2,1.0,16.91,0.6,0.65,0.75,0.5
0.08548,44.75,4.999,17.52,1.001,17.07,0.65,0.65,0.75,0.5
0.06455,42.99,5.001,16.2,1.001,17.09,0.7,0.65,0.75,0.5
0.03696,37.3,5.0,16.98,1.0,16.96,0.75,0.65,0.75,0.5
0.07378,44.72,5.001,17.41,1.0,16.94,0.8,0.65,0.75,0.5
0.06712,44.05,5.0,17.73,1.001,17.11,0.85,0.65,0.75,0.5
0.03765,79.89,5.0,17.71,1.0,17.0,0.9,0.65,0.75,0.5
0.06385,46.87,5.0,17.91,0.999,16.87,0.95,0.65,0.75,0.5
0.04868,44.3,5.001,18.42,1.001,17.03,1.0,0.65,0.75,0.5
0.04352,66.06,4.908,-0.01,1.0,16.22,0.05,0.7,0.75,0.5
0.07988,49.87,4.997,56.79,1.0,16.2,0.1,0.7,0.75,0.5
0.09866,46.05,4.994,43.66,1.001,16.38,0.15,0.7,0.75,0.5
0.09253,43.27,4.999,32.27,1.0,16.35,0.2,0.7,0.75,0.5
0.06279,41.45,5.001,26.0,1.0,16.3,0.25,0.7,0.75,0.5
0.05088,35.58,5.002,22.21,1.001,16.44,0.3,0.7,0.75,0.5
0.04875,38.79,5.0,20.79,0.999,16.18,0.35,0.7,0.75,0.5
0.07632,43.03,4.998,19.28,0.999,16.16,0.4,0.7,0.75,0.5
0.09454,44.27,5.001,17.46,1.0,16.24,0.45,0.7,0.75,0.5
0.08091,43.5,5.0,17.48,1.001,16.37,0.5,0.7,0.75,0.5
0.04918,39.63,5.001,15.95,1.0,16.27,0.55,0.7,0.75,0.5
0.04024,37.91,4.999,16.4,1.0,16.29,0.6,0.7,0.75,0.5
0.08042,43.24,4.999,16.93,1.001,16.32,0.65,0.7,0.75,0.5
0.09459,44.48,5.0,17.07,0.999,16.14,0.7,0.7,0.75,0.5
0.06077,40.69,5.0,15.86,1.0,16.2,0.75,0.7,0.75,0.5
0.04274,40.1,5.001,16.37,1.0,16.25,0.8,0.7,0.75,0.5
0.08142,44.47,5.0,17.1,1.0,16.21,0.85,0.7,0.75,0.5
0.06562,43.77,4.999,17.38,0.999,16.13,0.9,0.7,0.75,0.5
0.0418,40.02,5.0,17.18,1.0,16.22,0.95,0.7,0.75,0.5
0.06713,46.58,4.999,17.52,0.999,16.18,1.0,0.7,0.75,0.5
0.04651,65.91,4.891,-0.01,1.0,15.62,0.05,0.75,0.75,0.5
0.0862,70.63,4.994,65.8,0.999,15.48,0.1,0.75,0.75,0.5
0.10745,45.72,4.996,41.77,0.999,15.52,0.15,0.75,0.75,0.5
0.10522,42.94,4.995,34.61,1.0,15.63,0.2,0.75,0.75,0.5
0.07999,42.15,5.001,25.79,1.001,15.77,0.25,0.75,0.75,0.5
0.05456,38.28,4.999,23.2,1.0,15.67,0.3,0.75,0.75,0.5
0.05229,34.39,4.999,20.47,1.0,15.62,0.35,0.75,0.75,0.5
0.0662,40.66,4.998,18.92,0.999,15.51,0.4,0.75,0.75,0.5
0.098,42.91,5.0,17.14,1.0,15.66,0.45,0.75,0.75,0.5
0.10078,43.12,5.0,17.08,1.0,15.63,0.5,0.75,0.75,0.5
0.0769,41.75,5.001,15.52,1.0,15.73,0.55,0.75,0.75,0.5
0.04316,35.3,5.001,15.46,1.0,15.65,0.6,0.75,0.75,0.5
0.05429,39.77,4.999,15.12,1.0,15.62,0.65,0.75,0.75,0.5
0.09753,43.08,5.0,15.08,1.001,15.75,0.7,0.75,0.75,0.5
0.09632,43.29,5.0,15.28,0.999,15.52,0.75,0.75,0.75,0.5
0.05198,38.34,5.0,15.48,0.999,15.62,0.8,0.75,0.75,0.5
0.05482,41.94,5.0,16.19,1.001,15.79,0.85,0.75,0.75,0.5
0.08784,44.31,5.001,16.77,1.0,15.65,0.9,0.75,0.75,0.5
0.06214,42.55,5.001,16.71,1.001,15.76,0.95,0.75,0.75,0.5
0.04662,40.8,5.0,16.75,0.999,15.54,1.0,0.75,0.75,0.5
0.04789,66.16,4.913,-0.01,1.0,15.05,0.05,0.8,0.75,0.5
0.08855,49.34,4.991,76.48,1.0,15.12,0.1,0.8,0.75,0.5
0.11332,45.12,4.997,40.11,0.999,15.01,0.15,0.8,0.75,0.5
0.11632,42.69,4.998,32.8,1.001,15.22,0.2,0.8,0.75,0.5
0.09668,41.87,4.999,26.91,0.999,15.08,0.25,0.8,0.75,0.5
0.05953,40.01,4.999,23.12,1.0,15.15,0.3,0.8,0.75,0.5
0.05582,31.0,5.001,19.61,1.001,15.22,0.35,0.8,0.75,0.5
0.05358,39.3,4.999,18.52,0.999,14.96,0.4,0.8,0.75,0.5
0.09077,41.55,4.998,18.39,0.999,14.98,0.45,0.8,0.75,0.5
0.1091,42.78,4.998,16.84,1.0,15.11,0.5,0.8,0.75,0.5
0.09923,42.97,4.999,16.81,1.0,15.14,0.55,0.8,0.75,0.5
0.06885,40.11,5.001,15.14,1.0,15.08,0.6,0.8,0.75,0.5
0.0447,32.49,5.001,14.81,0.999,15.0,0.65,0.8,0.75,0.5
0.07616,41.65,5.001,14.65,1.001,15.21,0.7,0.8,0.75,0.5
0.10804,42.91,4.999,16.35,1.0,15.08,0.75,0.8,0.75,0.5
0.09239,42.15,5.0,15.01,1.001,15.15,0.8,0.8,0.75,0.5
0.05083,33.91,5.001,15.05,1.001,15.18,0.85,0.8,0.75,0.5
0.06641,42.76,5.0,16.12,0.999,15.0,0.9,0.8,0.75,0.5
0.09077,45.11,5.0,16.52,1.0,15.09,0.95,0.8,0.75,0.5
0.05988,41.4,5.001,15.69,1.001,15.2,1.0,0.8,0.75,0.5
0.04876,65.85,4.899,-0.01,0.999,14.46,0.05,0.85,0.75,0.5
0.09165,49.1,4.997,56.26,0.999,14.44,0.1,0.85,0.75,0.5
0.11986,44.95,4.997,39.94,0.999,14.5,0.15,0.85,0.75,0.5
0.12698,42.44,4.997,33.02,1.001,14.75,0.2,0.85,0.75,0.5
0.11131,45.44,4.997,27.55,0.999,14.58,0.25,0.85,0.75,0.5
0.07663,40.77,4.998,23.12,1.001,14.81,0.3,0.85,0.75,0.5
0.05937,35.85,5.002,19.37,1.001,14.83,0.35,0.85,0.75,0.5
0.05699,38.87,4.999,18.25,1.0,14.65,0.4,0.85,0.75,0.5
0.07767,40.26,5.001,16.51,1.0,14.66,0.45,0.85,0.75,0.5
0.11031,42.46,5.001,16.39,0.999,14.54,0.5,0.85,0.75,0.5
0.11517,42.66,5.0,16.46,0.999,14.58,0.55,0.85,0.75,0.5
0.0962,41.84,4.998,14.88,1.0,14.62,0.6,0.85,0.75,0.5
0.05776,37.9,5.001,14.71,1.001,14.8,0.65,0.85,0.75,0.5
0.04888,37.27,5.001,14.35,1.001,14.72,0.7,0.85,0.75,0.5
0.09661,42.55,5.0,14.44,1.001,14.78,0.75,0.85,0.75,0.5
0.11588,42.79,4.999,14.63,0.999,14.5,0.8,0.85,0.75,0.5
0.08725,41.95,4.999,14.8,1.0,14.61,0.85,0.85,0.75,0.5
0.05568,35.38,5.001,14.67,0.999,14.54,0.9,0.85,0.75,0.5
0.07797,43.65,5.0,14.68,1.0,14.59,0.95,0.85,0.75,0.5
0.09466,44.95,5.001,14.9,0.999,14.5,1.0,0.85,0.75,0.5
0.0499,66.36,4.901,-0.01,0.999,14.01,0.05,0.9,0.75,0.5
0.09379,48.92,4.998,55.66,1.0,14.23,0.1,0.9,0.75,0.5
0.12504,79.8,5.0,42.52,1.0,14.16,0.15,0.9,0.75,0.5
0.13539,42.22,5.002,30.64,1.001,14.38,0.2,0.9,0.75,0.5
0.12403,42.35,4.998,26.94,0.999,14.11,0.25,0.9,0.75,0.5
0.0964,40.55,5.0,22.71,1.001,14.41,0.3,0.9,0.75,0.5
0.06292,37.63,5.001,19.23,0.999,14.13,0.35,0.9,0.75,0.5
0.0604,26.84,5.002,17.48,1.001,14.33,0.4,0.9,0.75,0.5
0.06173,38.97,4.998,16.49,0.999,14.11,0.45,0.9,0.75,0.5
0.10271,41.2,4.998,16.28,1.001,14.3,0.5,0.9,0.75,0.5
0.12241,42.38,5.0,16.2,0.999,14.15,0.55,0.9,0.75,0.5
0.11815,42.58,5.0,14.57,1.001,14.34,0.6,0.9,0.75,0.5
0.08801,40.69,5.001,14.52,0.999,14.16,0.65,0.9,0.75,0.5
0.05381,33.47,5.0,14.24,0.999,14.1,0.7,0.9,0.75,0.5
